4010 	1.07565e-07	
14260 	1.01581e-07	
5080 	2.96175e-07	
8491 	3.80216e-07	
12382 	4.33292e-07	
10483 	5.30736e-07	
11579 	5.85353e-07	
13340 	7.20663e-07	
14770 	7.42295e-07	
666 	7.12821e-07	
1377 	7.36663e-07	
11861 	8.21224e-07	
9104 	9.55973e-07	
8063 	1.05787e-06	
14480 	1.07868e-06	
10330 	1.17776e-06	
6802 	1.22262e-06	
6045 	1.33957e-06	
10778 	1.38018e-06	
11563 	1.40755e-06	
11959 	1.83094e-06	
14371 	1.79745e-06	
5776 	2.00386e-06	
4237 	2.00372e-06	
14356 	2.04307e-06	
8963 	2.12341e-06	
10294 	2.15695e-06	
13877 	2.18803e-06	
7222 	2.20607e-06	
7877 	2.28273e-06	
